MI0025509	rno-mir-155;
MI0030347	rno-let-7g;
MI0030348	rno-mir-1247;
MI0030349	rno-mir-1297;
MI0030350	rno-mir-148a;
MI0030351	rno-mir-149;
MI0030352	rno-mir-15a;
MI0030353	rno-mir-1843b;
MI0030354	rno-mir-1896;
MI0030355	rno-mir-193b;
MI0030356	rno-mir-1956;
MI0030357	rno-mir-3064;
MI0030358	rno-mir-3084a;rno-mir-3084a-1;
MI0030359	rno-mir-3084b-1;rno-mir-3084a-2;
MI0030360	rno-mir-3084c;rno-mir-3084b;
MI0030361	rno-mir-3084d;rno-mir-3084a-3;
MI0030362	rno-mir-450b-1;
MI0030363	rno-mir-452;
MI0030364	rno-mir-5132;
MI0030365	rno-mir-762;
MI0031759	rno-mir-190a-2;
MI0031760	rno-mir-196b-2;
MI0031761	rno-mir-29c-2;
MI0031762	rno-mir-3084b-2;rno-mir-3084a-4;
MI0031763	rno-mir-322-2;
MI0031764	rno-mir-340-2;
MI0031765	rno-mir-350-2;
MI0031766	rno-mir-351-2;
MI0031767	rno-mir-3542-2;
MI0031768	rno-mir-3543-2;
MI0031769	rno-mir-3556b-2;
MI0031770	rno-mir-3584-2;
MI0031771	rno-mir-434-2;
MI0031772	rno-mir-450b-2;
MI0031773	rno-mir-503-2;
MI0031774	rno-mir-598-2;
MI0031775	rno-mir-6317-2;
MI0031776	rno-mir-6319-2;
MI0031777	rno-mir-29b-3;
MI0031778	rno-mir-344b-3;
MI0031779	rno-mir-466b-3;
MI0031780	rno-mir-466b-4;
MI0031781	rno-mir-542-2;
MI0031782	rno-mir-542-3;
MI0031785	rno-mir-1b;
MI0031786	rno-mir-676;
MI0031787	rno-mir-486;
MI0036345	rno-mir-709;
MIMAT0000547	rno-miR-322;rno-miR-322*;rno-miR-322-3p;
MIMAT0000550	rno-miR-323;rno-miR-323-3p;
MIMAT0000552	rno-miR-301;rno-miR-301a;rno-miR-301a-3p;
MIMAT0000553	rno-miR-324-5p;
MIMAT0000554	rno-miR-324-3p;
MIMAT0000557	rno-miR-325;rno-miR-325-5p;
MIMAT0000560	rno-miR-326;rno-miR-326-3p;
MIMAT0000561	rno-miR-327;
MIMAT0000562	rno-let-7d;rno-let-7d-5p;
MIMAT0000563	rno-let-7d*;rno-let-7d-3p;
MIMAT0000564	rno-miR-328;rno-miR-328a;rno-miR-328a-3p;
MIMAT0000566	rno-miR-329;rno-miR-329-3p;
MIMAT0000568	rno-miR-330;rno-miR-330*;rno-miR-330-3p;
MIMAT0000570	rno-miR-331;rno-miR-331-3p;
MIMAT0000572	rno-miR-333;
MIMAT0000573	rno-miR-140;rno-miR-140-5p;
MIMAT0000574	rno-miR-140*;rno-miR-140-3p;
MIMAT0000575	rno-miR-335;
MIMAT0000576	rno-miR-336;rno-miR-336-5p;
MIMAT0000577	rno-miR-337;rno-miR-337-3p;
MIMAT0000579	rno-miR-148b;rno-miR-148b-3p;
MIMAT0000581	rno-miR-338;rno-miR-338-3p;
MIMAT0000583	rno-miR-339;rno-miR-339-5p;
MIMAT0000585	rno-miR-340;rno-miR-340-3p;
MIMAT0000587	rno-miR-341;
MIMAT0000589	rno-miR-342;rno-miR-342-3p;
MIMAT0000591	rno-miR-343;
MIMAT0000592	rno-miR-344;rno-miR-344-3p;rno-miR-344a-3p;
MIMAT0000594	rno-miR-345;rno-miR-345-5p;
MIMAT0000596	rno-miR-346;
MIMAT0000598	rno-miR-347;
MIMAT0000599	rno-miR-349;
MIMAT0000600	rno-miR-129;rno-miR-129-5p;
MIMAT0000601	rno-miR-129*;rno-miR-129-2*;rno-miR-129-2-3p;
MIMAT0000602	rno-miR-20;rno-miR-20a;rno-miR-20a-5p;
MIMAT0000603	rno-miR-20*;rno-miR-20a*;rno-miR-20a-3p;
MIMAT0000604	rno-miR-350;
MIMAT0000606	rno-miR-7;rno-miR-7a;rno-miR-7a-5p;
MIMAT0000607	rno-miR-7*;rno-miR-7a*;rno-miR-7a-1*;rno-miR-7a-1-3p;
MIMAT0000608	rno-miR-351;rno-miR-351-5p;
MIMAT0000610	rno-miR-352;
MIMAT0000611	rno-miR-135b;rno-miR-135b-5p;
MIMAT0000613	rno-miR-151*;rno-miR-151;rno-miR-151-5p;
MIMAT0000614	rno-miR-151;rno-miR-151*;rno-miR-151-3p;
MIMAT0000615	rno-miR-101b;rno-miR-101b-3p;
MIMAT0000774	rno-let-7a;rno-let-7a-5p;
MIMAT0000775	rno-let-7b;rno-let-7b-5p;
MIMAT0000776	rno-let-7c;rno-let-7c-5p;
MIMAT0000777	rno-let-7e;rno-let-7e-5p;
MIMAT0000778	rno-let-7f;rno-let-7f-5p;
MIMAT0000779	rno-let-7i;rno-let-7i-5p;
MIMAT0000780	rno-miR-7b;
MIMAT0000781	rno-miR-9;rno-miR-9a-5p;
MIMAT0000782	rno-miR-10a;rno-miR-10a-5p;
MIMAT0000783	rno-miR-10b;rno-miR-10b-5p;
MIMAT0000784	rno-miR-15b;rno-miR-15b-5p;
MIMAT0000785	rno-miR-16;rno-miR-16-5p;
MIMAT0000786	rno-miR-17;rno-miR-17-5p;
MIMAT0000787	rno-miR-18;rno-miR-18a;rno-miR-18a-5p;
MIMAT0000788	rno-miR-19b;rno-miR-19b-3p;
MIMAT0000789	rno-miR-19a;rno-miR-19a-3p;
MIMAT0000790	rno-miR-21;rno-miR-21-5p;
MIMAT0000791	rno-miR-22;rno-miR-22-3p;
MIMAT0000792	rno-miR-23a;rno-miR-23a-3p;
MIMAT0000793	rno-miR-23b;rno-miR-23b-3p;
MIMAT0000794	rno-miR-24;rno-miR-24-3p;
MIMAT0000795	rno-miR-25;rno-miR-25-3p;
MIMAT0000796	rno-miR-26a;rno-miR-26a-5p;
MIMAT0000797	rno-miR-26b;rno-miR-26b-5p;
MIMAT0000798	rno-miR-27b;rno-miR-27b-3p;
MIMAT0000799	rno-miR-27a;rno-miR-27a-3p;
MIMAT0000800	rno-miR-28;rno-miR-28-5p;
MIMAT0000801	rno-miR-29b;rno-miR-29b-3p;
MIMAT0000802	rno-miR-29a;rno-miR-29a-3p;
MIMAT0000803	rno-miR-29c;rno-miR-29c-3p;
MIMAT0000804	rno-miR-30c;rno-miR-30c-5p;
MIMAT0000805	rno-miR-30e;rno-miR-30e-5p;
MIMAT0000806	rno-miR-30b;rno-miR-30b-5p;
MIMAT0000807	rno-miR-30d;rno-miR-30d-5p;
MIMAT0000808	rno-miR-30a-5p;rno-miR-30a;rno-miR-30a-5p;
MIMAT0000809	rno-miR-30a-3p;rno-miR-30a*;rno-miR-30a-3p;
MIMAT0000810	rno-miR-31;rno-miR-31a-5p;
MIMAT0000811	rno-miR-32;rno-miR-32-5p;
MIMAT0000812	rno-miR-33;rno-miR-33-5p;
MIMAT0000813	rno-miR-34b;rno-miR-34b-5p;
MIMAT0000814	rno-miR-34c;rno-miR-34c-5p;
MIMAT0000815	rno-miR-34a;rno-miR-34a-5p;
MIMAT0000816	rno-miR-92;rno-miR-92a;rno-miR-92a-3p;
MIMAT0000817	rno-miR-93;rno-miR-93-5p;
MIMAT0000818	rno-miR-96;rno-miR-96-5p;
MIMAT0000819	rno-miR-98;rno-miR-98-5p;
MIMAT0000820	rno-miR-99a;rno-miR-99a-5p;
MIMAT0000821	rno-miR-99b;rno-miR-99b-5p;
MIMAT0000822	rno-miR-100;rno-miR-100-5p;
MIMAT0000823	rno-miR-101;rno-miR-101a;rno-miR-101a-3p;
MIMAT0000824	rno-miR-103;rno-miR-103-3p;
MIMAT0000825	rno-miR-106b;rno-miR-106b-5p;
MIMAT0000826	rno-miR-107;rno-miR-107-3p;
MIMAT0000827	rno-miR-122a;rno-miR-122;rno-miR-122-5p;
MIMAT0000828	rno-miR-124a;rno-miR-124;rno-miR-124-3p;
MIMAT0000829	rno-miR-125a;rno-miR-125a-5p;
MIMAT0000830	rno-miR-125b;rno-miR-125b-5p;
MIMAT0000831	rno-miR-126*;rno-miR-126a-5p;
MIMAT0000832	rno-miR-126;rno-miR-126a-3p;
MIMAT0000833	rno-miR-127;rno-miR-127-3p;
MIMAT0000834	rno-miR-128a;rno-miR-128;rno-miR-128-3p;
MIMAT0000835	rno-miR-128b;
MIMAT0000836	rno-miR-130a;rno-miR-130a-3p;
MIMAT0000837	rno-miR-130b;rno-miR-130b-3p;
MIMAT0000838	rno-miR-132;rno-miR-132-3p;
MIMAT0000839	rno-miR-133a;rno-miR-133a-3p;
MIMAT0000840	rno-miR-134;rno-miR-134-5p;
MIMAT0000841	rno-miR-135a;rno-miR-135a-5p;
MIMAT0000842	rno-miR-136;rno-miR-136-5p;
MIMAT0000843	rno-miR-137;rno-miR-137-3p;
MIMAT0000844	rno-miR-138;rno-miR-138-5p;
MIMAT0000845	rno-miR-139;rno-miR-139-5p;
MIMAT0000846	rno-miR-141;rno-miR-141-3p;
MIMAT0000847	rno-miR-142-5p;
MIMAT0000848	rno-miR-142-3p;
MIMAT0000849	rno-miR-143;rno-miR-143-3p;
MIMAT0000850	rno-miR-144;rno-miR-144-3p;
MIMAT0000851	rno-miR-145;rno-miR-145-5p;
MIMAT0000852	rno-miR-146;rno-miR-146a;rno-miR-146a-5p;
MIMAT0000853	rno-miR-150;rno-miR-150-5p;
MIMAT0000854	rno-miR-152;rno-miR-152-3p;
MIMAT0000855	rno-miR-153;rno-miR-153-3p;
MIMAT0000856	rno-miR-154;rno-miR-154-5p;
MIMAT0000857	rno-miR-181c;rno-miR-181c-5p;
MIMAT0000858	rno-miR-181a;rno-miR-181a-5p;
MIMAT0000859	rno-miR-181b;rno-miR-181b-5p;
MIMAT0000860	rno-miR-183;rno-miR-183-5p;
MIMAT0000861	rno-miR-184;
MIMAT0000862	rno-miR-185;rno-miR-185-5p;
MIMAT0000863	rno-miR-186;rno-miR-186-5p;
MIMAT0000864	rno-miR-187;rno-miR-187-3p;
MIMAT0000865	rno-miR-190;rno-miR-190a-5p;
MIMAT0000866	rno-miR-191;rno-miR-191a-5p;
MIMAT0000867	rno-miR-192;rno-miR-192-5p;
MIMAT0000868	rno-miR-193;rno-miR-193-3p;rno-miR-193a-3p;
MIMAT0000869	rno-miR-194;rno-miR-194-5p;
MIMAT0000870	rno-miR-195;rno-miR-195-5p;
MIMAT0000871	rno-miR-196a;rno-miR-196a-5p;
MIMAT0000872	rno-miR-199a;rno-miR-199a-5p;
MIMAT0000873	rno-miR-200c;rno-miR-200c-3p;
MIMAT0000874	rno-miR-200a;rno-miR-200a-3p;
MIMAT0000875	rno-miR-200b;rno-miR-200b-3p;
MIMAT0000876	rno-miR-203;rno-miR-203a-3p;
MIMAT0000877	rno-miR-204;rno-miR-204-5p;
MIMAT0000878	rno-miR-205;
MIMAT0000879	rno-miR-206;rno-miR-206-3p;
MIMAT0000880	rno-miR-208;rno-miR-208a-3p;
MIMAT0000881	rno-miR-210;rno-miR-210-3p;
MIMAT0000882	rno-miR-211;rno-miR-211-5p;
MIMAT0000883	rno-miR-212;rno-miR-212-3p;
